date,open,high,low,close,volume,average,barCount
2026-08-03,688.2999877929688,701.5900268554688,685.8200073242188,700.0700073242188,44965100,,
2026-08-04,708.1599731445312,725.6599731445312,707.530029296875,723.8499755859375,59778600,,
2026-08-05,726.25,728.5399780273438,716.9199829101562,717.2999877929688,33540200,,
2026-08-06,710.8200073242188,719.3200073242188,708.5,714.6500244140625,33035900,,
2026-08-07,720.1500244140625,723.6300048828125,716.510009765625,723.030029296875,31070400,,
2026-08-10,722.3900146484375,724.6699829101562,720.3300170898438,720.8699951171875,26243200,,
2026-08-11,723.2899780273438,723.3499755859375,715.5,718.4500122070312,29286100,,
2026-08-12,727.0800170898438,727.25,722.9199829101562,723.7000122070312,29066000,,
2026-08-13,725.1500244140625,733.9600219726562,724.030029296875,732.0700073242188,31599700,,
2026-08-14,733.4099731445312,734.3900146484375,728.3200073242188,731.0700073242188,23790600,,
2026-08-17,732.9500122070312,734.5800170898438,729.27001953125,729.8699951171875,26452600,,
2026-08-18,720.2100219726562,722.1300048828125,715.9199829101562,717.510009765625,48997200,,
2026-08-19,720.3900146484375,721.5,712.6099853515625,716.0800170898438,35801700,,
2026-08-20,712.0900268554688,714.9400024414062,708.52001953125,710.9299926757812,33396400,,
2026-08-21,715.22998046875,715.6699829101562,709.2000122070312,713.4400024414062,33399400,,
2026-08-24,709.6599731445312,709.7899780273438,702.7000122070312,706.3200073242188,37443100,,
2026-08-25,711.219970703125,714.0399780273438,707.4500122070312,710.719970703125,23869600,,
2026-08-26,708.4099731445312,713.02001953125,707.969970703125,711.3699951171875,20392400,,
2026-08-27,716.9299926757812,721.3499755859375,714.530029296875,721.1099853515625,28723500,,
2026-08-28,719.739990234375,724.1300048828125,715.0900268554688,716.4299926757812,34105400,,
2026-08-31,715.1699829101562,717.5800170898438,713.1599731445312,716.760009765625,32237200,,
